time,percent_diet,diet_species_cohort
2009-01-01T00:00:00Z,0.48,T. spinifera (Ce CC SEFI Cassins auklet)
2010-01-01T00:00:00Z,0.326,T. spinifera (Ce CC SEFI Cassins auklet)
2011-01-01T00:00:00Z,0.457,T. spinifera (Ce CC SEFI Cassins auklet)
2012-01-01T00:00:00Z,0.211,T. spinifera (Ce CC SEFI Cassins auklet)
2013-01-01T00:00:00Z,0.582,T. spinifera (Ce CC SEFI Cassins auklet)
2014-01-01T00:00:00Z,0.886,T. spinifera (Ce CC SEFI Cassins auklet)
2015-01-01T00:00:00Z,0.674,T. spinifera (Ce CC SEFI Cassins auklet)
2016-01-01T00:00:00Z,0.85,T. spinifera (Ce CC SEFI Cassins auklet)
2017-01-01T00:00:00Z,0.513,T. spinifera (Ce CC SEFI Cassins auklet)
2018-01-01T00:00:00Z,0.418,T. spinifera (Ce CC SEFI Cassins auklet)
1998-01-01T00:00:00Z,15.87,Smelts (No CC Common murre)
1999-01-01T00:00:00Z,19.96,Smelts (No CC Common murre)
2000-01-01T00:00:00Z,54.62,Smelts (No CC Common murre)
2001-01-01T00:00:00Z,26.93,Smelts (No CC Common murre)
2002-01-01T00:00:00Z,32.85,Smelts (No CC Common murre)
2003-01-01T00:00:00Z,NA,Smelts (No CC Common murre)
2004-01-01T00:00:00Z,NA,Smelts (No CC Common murre)
2005-01-01T00:00:00Z,NA,Smelts (No CC Common murre)
2006-01-01T00:00:00Z,NA,Smelts (No CC Common murre)
2007-01-01T00:00:00Z,30.56,Smelts (No CC Common murre)
2008-01-01T00:00:00Z,8.9,Smelts (No CC Common murre)
2009-01-01T00:00:00Z,34.58,Smelts (No CC Common murre)
2010-01-01T00:00:00Z,71.79,Smelts (No CC Common murre)
2011-01-01T00:00:00Z,35.83,Smelts (No CC Common murre)
2012-01-01T00:00:00Z,64.04,Smelts (No CC Common murre)
2013-01-01T00:00:00Z,55,Smelts (No CC Common murre)
2014-01-01T00:00:00Z,81.15,Smelts (No CC Common murre)
2015-01-01T00:00:00Z,56.25,Smelts (No CC Common murre)
2016-01-01T00:00:00Z,81.9,Smelts (No CC Common murre)
2017-01-01T00:00:00Z,53.49,Smelts (No CC Common murre)
2018-01-01T00:00:00Z,30.9,Smelts (No CC Common murre)
2019-01-01T00:00:00Z,64.7,Smelts (No CC Common murre)
1998-01-01T00:00:00Z,57.14,Herring and sardines (No CC Common murre)
1999-01-01T00:00:00Z,13.98,Herring and sardines (No CC Common murre)
2000-01-01T00:00:00Z,2.55,Herring and sardines (No CC Common murre)
2001-01-01T00:00:00Z,13.47,Herring and sardines (No CC Common murre)
2002-01-01T00:00:00Z,22.27,Herring and sardines (No CC Common murre)
2003-01-01T00:00:00Z,NA,Herring and sardines (No CC Common murre)
2004-01-01T00:00:00Z,NA,Herring and sardines (No CC Common murre)
2005-01-01T00:00:00Z,NA,Herring and sardines (No CC Common murre)
2006-01-01T00:00:00Z,NA,Herring and sardines (No CC Common murre)
2007-01-01T00:00:00Z,44.44,Herring and sardines (No CC Common murre)
2008-01-01T00:00:00Z,5.48,Herring and sardines (No CC Common murre)
2009-01-01T00:00:00Z,29.91,Herring and sardines (No CC Common murre)
2010-01-01T00:00:00Z,7.01,Herring and sardines (No CC Common murre)
2011-01-01T00:00:00Z,12.7,Herring and sardines (No CC Common murre)
2012-01-01T00:00:00Z,12.32,Herring and sardines (No CC Common murre)
2013-01-01T00:00:00Z,20,Herring and sardines (No CC Common murre)
2014-01-01T00:00:00Z,8.2,Herring and sardines (No CC Common murre)
2015-01-01T00:00:00Z,29.17,Herring and sardines (No CC Common murre)
2016-01-01T00:00:00Z,2.59,Herring and sardines (No CC Common murre)
2017-01-01T00:00:00Z,2.33,Herring and sardines (No CC Common murre)
2018-01-01T00:00:00Z,10,Herring and sardines (No CC Common murre)
2019-01-01T00:00:00Z,3.9,Herring and sardines (No CC Common murre)
1998-01-01T00:00:00Z,19.05,Pacific sandlance (No CC Common murre)
1999-01-01T00:00:00Z,38.19,Pacific sandlance (No CC Common murre)
2000-01-01T00:00:00Z,28.87,Pacific sandlance (No CC Common murre)
2001-01-01T00:00:00Z,49.15,Pacific sandlance (No CC Common murre)
2002-01-01T00:00:00Z,33.18,Pacific sandlance (No CC Common murre)
2003-01-01T00:00:00Z,NA,Pacific sandlance (No CC Common murre)
2004-01-01T00:00:00Z,NA,Pacific sandlance (No CC Common murre)
2005-01-01T00:00:00Z,NA,Pacific sandlance (No CC Common murre)
2006-01-01T00:00:00Z,NA,Pacific sandlance (No CC Common murre)
2007-01-01T00:00:00Z,0,Pacific sandlance (No CC Common murre)
2008-01-01T00:00:00Z,70.55,Pacific sandlance (No CC Common murre)
2009-01-01T00:00:00Z,29.91,Pacific sandlance (No CC Common murre)
2010-01-01T00:00:00Z,2.74,Pacific sandlance (No CC Common murre)
2011-01-01T00:00:00Z,16.29,Pacific sandlance (No CC Common murre)
2012-01-01T00:00:00Z,5.42,Pacific sandlance (No CC Common murre)
2013-01-01T00:00:00Z,9.62,Pacific sandlance (No CC Common murre)
2014-01-01T00:00:00Z,1.64,Pacific sandlance (No CC Common murre)
2015-01-01T00:00:00Z,4.17,Pacific sandlance (No CC Common murre)
2016-01-01T00:00:00Z,15.52,Pacific sandlance (No CC Common murre)
2017-01-01T00:00:00Z,34.88,Pacific sandlance (No CC Common murre)
2018-01-01T00:00:00Z,10,Pacific sandlance (No CC Common murre)
2019-01-01T00:00:00Z,6.7,Pacific sandlance (No CC Common murre)
1998-01-01T00:00:00Z,0,Flatfishes (No CC Common murre)
1999-01-01T00:00:00Z,7.43,Flatfishes (No CC Common murre)
2000-01-01T00:00:00Z,4.06,Flatfishes (No CC Common murre)
2001-01-01T00:00:00Z,2.81,Flatfishes (No CC Common murre)
2002-01-01T00:00:00Z,1.31,Flatfishes (No CC Common murre)
2003-01-01T00:00:00Z,NA,Flatfishes (No CC Common murre)
2004-01-01T00:00:00Z,NA,Flatfishes (No CC Common murre)
2005-01-01T00:00:00Z,NA,Flatfishes (No CC Common murre)
2006-01-01T00:00:00Z,NA,Flatfishes (No CC Common murre)
2007-01-01T00:00:00Z,8.33,Flatfishes (No CC Common murre)
2008-01-01T00:00:00Z,1.37,Flatfishes (No CC Common murre)
2009-01-01T00:00:00Z,0.93,Flatfishes (No CC Common murre)
2010-01-01T00:00:00Z,1.88,Flatfishes (No CC Common murre)
2011-01-01T00:00:00Z,23.13,Flatfishes (No CC Common murre)
2012-01-01T00:00:00Z,6.4,Flatfishes (No CC Common murre)
2013-01-01T00:00:00Z,0.77,Flatfishes (No CC Common murre)
2014-01-01T00:00:00Z,0,Flatfishes (No CC Common murre)
2015-01-01T00:00:00Z,5.21,Flatfishes (No CC Common murre)
2016-01-01T00:00:00Z,0,Flatfishes (No CC Common murre)
2017-01-01T00:00:00Z,6.98,Flatfishes (No CC Common murre)
2018-01-01T00:00:00Z,32.7,Flatfishes (No CC Common murre)
2019-01-01T00:00:00Z,14,Flatfishes (No CC Common murre)
1998-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
1999-01-01T00:00:00Z,0.1,Rockfish juveniles (No CC Common murre)
2000-01-01T00:00:00Z,0.38,Rockfish juveniles (No CC Common murre)
2001-01-01T00:00:00Z,0.4,Rockfish juveniles (No CC Common murre)
2002-01-01T00:00:00Z,0.33,Rockfish juveniles (No CC Common murre)
2003-01-01T00:00:00Z,NA,Rockfish juveniles (No CC Common murre)
2004-01-01T00:00:00Z,NA,Rockfish juveniles (No CC Common murre)
2005-01-01T00:00:00Z,NA,Rockfish juveniles (No CC Common murre)
2006-01-01T00:00:00Z,NA,Rockfish juveniles (No CC Common murre)
2007-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2008-01-01T00:00:00Z,13.01,Rockfish juveniles (No CC Common murre)
2009-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2010-01-01T00:00:00Z,12.65,Rockfish juveniles (No CC Common murre)
2011-01-01T00:00:00Z,0.98,Rockfish juveniles (No CC Common murre)
2012-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2013-01-01T00:00:00Z,2.31,Rockfish juveniles (No CC Common murre)
2014-01-01T00:00:00Z,2.46,Rockfish juveniles (No CC Common murre)
2015-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2016-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2017-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2018-01-01T00:00:00Z,0,Rockfish juveniles (No CC Common murre)
2019-01-01T00:00:00Z,1,Rockfish juveniles (No CC Common murre)
1993-01-01T00:00:00Z,0.76,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1994-01-01T00:00:00Z,0.67,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1995-01-01T00:00:00Z,0.75,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1996-01-01T00:00:00Z,0.26,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1997-01-01T00:00:00Z,0.41,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1998-01-01T00:00:00Z,0.37,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1999-01-01T00:00:00Z,0.74,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2000-01-01T00:00:00Z,0.78,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2001-01-01T00:00:00Z,0.1,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2002-01-01T00:00:00Z,0.23,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2003-01-01T00:00:00Z,0.12,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2004-01-01T00:00:00Z,0.77,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2005-01-01T00:00:00Z,0.8,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2006-01-01T00:00:00Z,1,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2007-01-01T00:00:00Z,1,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2008-01-01T00:00:00Z,0.49,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2009-01-01T00:00:00Z,0.04,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2010-01-01T00:00:00Z,0.07,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2011-01-01T00:00:00Z,0.04,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2012-01-01T00:00:00Z,0.06,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2013-01-01T00:00:00Z,0.36,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2014-01-01T00:00:00Z,0.51,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2015-01-01T00:00:00Z,0.93,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2016-01-01T00:00:00Z,0.79,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2017-01-01T00:00:00Z,0.33,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2018-01-01T00:00:00Z,0.92,Northern anchovy (Cen CC ANI Rhinoceros auklet)
2019-01-01T00:00:00Z,0.9,Northern anchovy (Cen CC ANI Rhinoceros auklet)
1993-01-01T00:00:00Z,0.03,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1994-01-01T00:00:00Z,0.03,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1995-01-01T00:00:00Z,0.03,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1996-01-01T00:00:00Z,0.43,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1997-01-01T00:00:00Z,0.02,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1998-01-01T00:00:00Z,0,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1999-01-01T00:00:00Z,0.15,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2000-01-01T00:00:00Z,0.04,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2001-01-01T00:00:00Z,0.52,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2002-01-01T00:00:00Z,0.59,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2003-01-01T00:00:00Z,0.12,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2004-01-01T00:00:00Z,0.14,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2005-01-01T00:00:00Z,0,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2006-01-01T00:00:00Z,0,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2007-01-01T00:00:00Z,0,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2008-01-01T00:00:00Z,0.07,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2009-01-01T00:00:00Z,0.04,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2010-01-01T00:00:00Z,0.56,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2011-01-01T00:00:00Z,0.15,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2012-01-01T00:00:00Z,0.05,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2013-01-01T00:00:00Z,0.59,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2014-01-01T00:00:00Z,0.43,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2015-01-01T00:00:00Z,0.05,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2016-01-01T00:00:00Z,0.11,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2017-01-01T00:00:00Z,0.48,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2018-01-01T00:00:00Z,0.03,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
2019-01-01T00:00:00Z,0,Rockfish juveniles (Cen CC ANI Rhinoceros auklet)
1993-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
1994-01-01T00:00:00Z,0.1,Market squid (Cen CC ANI Rhinoceros auklet)
1995-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
1996-01-01T00:00:00Z,0.15,Market squid (Cen CC ANI Rhinoceros auklet)
1997-01-01T00:00:00Z,0.29,Market squid (Cen CC ANI Rhinoceros auklet)
1998-01-01T00:00:00Z,0.02,Market squid (Cen CC ANI Rhinoceros auklet)
1999-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2000-01-01T00:00:00Z,0.08,Market squid (Cen CC ANI Rhinoceros auklet)
2001-01-01T00:00:00Z,0.04,Market squid (Cen CC ANI Rhinoceros auklet)
2002-01-01T00:00:00Z,0.01,Market squid (Cen CC ANI Rhinoceros auklet)
2003-01-01T00:00:00Z,0.06,Market squid (Cen CC ANI Rhinoceros auklet)
2004-01-01T00:00:00Z,0.02,Market squid (Cen CC ANI Rhinoceros auklet)
2005-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2006-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2007-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2008-01-01T00:00:00Z,0.06,Market squid (Cen CC ANI Rhinoceros auklet)
2009-01-01T00:00:00Z,0.28,Market squid (Cen CC ANI Rhinoceros auklet)
2010-01-01T00:00:00Z,0.02,Market squid (Cen CC ANI Rhinoceros auklet)
2011-01-01T00:00:00Z,0.4,Market squid (Cen CC ANI Rhinoceros auklet)
2012-01-01T00:00:00Z,0.28,Market squid (Cen CC ANI Rhinoceros auklet)
2013-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2014-01-01T00:00:00Z,0.03,Market squid (Cen CC ANI Rhinoceros auklet)
2015-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2016-01-01T00:00:00Z,0,Market squid (Cen CC ANI Rhinoceros auklet)
2017-01-01T00:00:00Z,0.11,Market squid (Cen CC ANI Rhinoceros auklet)
2018-01-01T00:00:00Z,0.02,Market squid (Cen CC ANI Rhinoceros auklet)
2019-01-01T00:00:00Z,0.03,Market squid (Cen CC ANI Rhinoceros auklet)
1993-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
1994-01-01T00:00:00Z,0.15,Pacific saury (Cen CC ANI Rhinoceros auklet)
1995-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
1996-01-01T00:00:00Z,0.08,Pacific saury (Cen CC ANI Rhinoceros auklet)
1997-01-01T00:00:00Z,0.22,Pacific saury (Cen CC ANI Rhinoceros auklet)
1998-01-01T00:00:00Z,0.54,Pacific saury (Cen CC ANI Rhinoceros auklet)
1999-01-01T00:00:00Z,0.03,Pacific saury (Cen CC ANI Rhinoceros auklet)
2000-01-01T00:00:00Z,0.07,Pacific saury (Cen CC ANI Rhinoceros auklet)
2001-01-01T00:00:00Z,0.24,Pacific saury (Cen CC ANI Rhinoceros auklet)
2002-01-01T00:00:00Z,0.14,Pacific saury (Cen CC ANI Rhinoceros auklet)
2003-01-01T00:00:00Z,0.36,Pacific saury (Cen CC ANI Rhinoceros auklet)
2004-01-01T00:00:00Z,0.04,Pacific saury (Cen CC ANI Rhinoceros auklet)
2005-01-01T00:00:00Z,0.18,Pacific saury (Cen CC ANI Rhinoceros auklet)
2006-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2007-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2008-01-01T00:00:00Z,0.03,Pacific saury (Cen CC ANI Rhinoceros auklet)
2009-01-01T00:00:00Z,0.12,Pacific saury (Cen CC ANI Rhinoceros auklet)
2010-01-01T00:00:00Z,0.19,Pacific saury (Cen CC ANI Rhinoceros auklet)
2011-01-01T00:00:00Z,0.04,Pacific saury (Cen CC ANI Rhinoceros auklet)
2012-01-01T00:00:00Z,0.43,Pacific saury (Cen CC ANI Rhinoceros auklet)
2013-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2014-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2015-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2016-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2017-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2018-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
2019-01-01T00:00:00Z,0,Pacific saury (Cen CC ANI Rhinoceros auklet)
1994-01-01T00:00:00Z,0.56,Northern anchovy (Ce CC SEFI Brandts cormorant)
1995-01-01T00:00:00Z,NA,Northern anchovy (Ce CC SEFI Brandts cormorant)
