time,species_group,mean_density,Seup,Selo
1998-01-01T00:00:00Z,CA Market squid,0.3234,0.435,0.211
1999-01-01T00:00:00Z,CA Market squid,0.3805,0.484,0.277
2000-01-01T00:00:00Z,CA Market squid,0.0634,0.101,0.026
2001-01-01T00:00:00Z,CA Market squid,0.2301,0.325,0.135
2002-01-01T00:00:00Z,CA Market squid,0.3762,0.477,0.276
2003-01-01T00:00:00Z,CA Market squid,0.555,0.675,0.435
2004-01-01T00:00:00Z,CA Market squid,0.3068,0.376,0.238
2005-01-01T00:00:00Z,CA Market squid,0.1242,0.188,0.06
2006-01-01T00:00:00Z,CA Market squid,0.3093,0.398,0.22
2007-01-01T00:00:00Z,CA Market squid,0.072,0.099,0.045
2008-01-01T00:00:00Z,CA Market squid,0.042,0.055,0.029
2009-01-01T00:00:00Z,CA Market squid,0.0094,0.014,0.005
2010-01-01T00:00:00Z,CA Market squid,0.1335,0.201,0.066
2011-01-01T00:00:00Z,CA Market squid,0.2349,0.308,0.162
2012-01-01T00:00:00Z,CA Market squid,0.2633,0.347,0.18
2013-01-01T00:00:00Z,CA Market squid,0.1681,0.214,0.122
2014-01-01T00:00:00Z,CA Market squid,0.6082,0.739,0.477
2015-01-01T00:00:00Z,CA Market squid,0.545,0.631,0.459
2016-01-01T00:00:00Z,CA Market squid,0.4503,0.547,0.354
2017-01-01T00:00:00Z,CA Market squid,0.3576,0.439,0.276
2018-01-01T00:00:00Z,CA Market squid,0.856,0.981,0.731
2019-01-01T00:00:00Z,CA Market squid,1.15347,1.29039,1.01655
1998-01-01T00:00:00Z,Subyearling Chinook,0.1791,0.263,0.095
1999-01-01T00:00:00Z,Subyearling Chinook,0.023,0.037,0.009
2000-01-01T00:00:00Z,Subyearling Chinook,0.0974,0.132,0.063
2001-01-01T00:00:00Z,Subyearling Chinook,0.0523,0.075,0.03
2002-01-01T00:00:00Z,Subyearling Chinook,0.1559,0.194,0.118
2003-01-01T00:00:00Z,Subyearling Chinook,0.312,0.374,0.25
2004-01-01T00:00:00Z,Subyearling Chinook,0.1678,0.205,0.131
2005-01-01T00:00:00Z,Subyearling Chinook,0.0639,0.092,0.036
2006-01-01T00:00:00Z,Subyearling Chinook,0.1844,0.231,0.138
2007-01-01T00:00:00Z,Subyearling Chinook,0.114,0.156,0.072
2008-01-01T00:00:00Z,Subyearling Chinook,0.1564,0.19,0.123
2009-01-01T00:00:00Z,Subyearling Chinook,0.2528,0.312,0.194
2010-01-01T00:00:00Z,Subyearling Chinook,0.298,0.357,0.239
2011-01-01T00:00:00Z,Subyearling Chinook,0.1574,0.191,0.123
2012-01-01T00:00:00Z,Subyearling Chinook,0.0793,0.108,0.051
2013-01-01T00:00:00Z,Subyearling Chinook,0.1503,0.199,0.101
2014-01-01T00:00:00Z,Subyearling Chinook,0.1219,0.156,0.088
2015-01-01T00:00:00Z,Subyearling Chinook,0.0766,0.106,0.047
2016-01-01T00:00:00Z,Subyearling Chinook,0.2896,0.361,0.218
2017-01-01T00:00:00Z,Subyearling Chinook,0.0568,0.079,0.035
2018-01-01T00:00:00Z,Subyearling Chinook,0.1695,0.214,0.125
2019-01-01T00:00:00Z,Subyearling Chinook,0.16397,0.21339,0.11454
1998-01-01T00:00:00Z,Yearling Chinook,0.1007,0.14,0.062
1999-01-01T00:00:00Z,Yearling Chinook,0.2844,0.346,0.223
2000-01-01T00:00:00Z,Yearling Chinook,0.2223,0.276,0.169
2001-01-01T00:00:00Z,Yearling Chinook,0.1123,0.148,0.077
2002-01-01T00:00:00Z,Yearling Chinook,0.2365,0.28,0.193
2003-01-01T00:00:00Z,Yearling Chinook,0.1951,0.232,0.158
2004-01-01T00:00:00Z,Yearling Chinook,0.147,0.173,0.121
2005-01-01T00:00:00Z,Yearling Chinook,0.0444,0.061,0.027
2006-01-01T00:00:00Z,Yearling Chinook,0.1644,0.206,0.123
2007-01-01T00:00:00Z,Yearling Chinook,0.1987,0.234,0.163
2008-01-01T00:00:00Z,Yearling Chinook,0.4301,0.48,0.38
2009-01-01T00:00:00Z,Yearling Chinook,0.2201,0.259,0.181
2010-01-01T00:00:00Z,Yearling Chinook,0.2435,0.277,0.21
2011-01-01T00:00:00Z,Yearling Chinook,0.1535,0.18,0.127
2012-01-01T00:00:00Z,Yearling Chinook,0.2845,0.327,0.242
2013-01-01T00:00:00Z,Yearling Chinook,0.2553,0.299,0.212
2014-01-01T00:00:00Z,Yearling Chinook,0.2134,0.25,0.177
2015-01-01T00:00:00Z,Yearling Chinook,0.1518,0.182,0.122
2016-01-01T00:00:00Z,Yearling Chinook,0.102,0.128,0.076
2017-01-01T00:00:00Z,Yearling Chinook,0.0244,0.034,0.015
2018-01-01T00:00:00Z,Yearling Chinook,0.1356,0.163,0.108
2019-01-01T00:00:00Z,Yearling Chinook,0.18421,0.22291,0.14551
1998-01-01T00:00:00Z,Yearling Coho,0.0879,0.131,0.044
1999-01-01T00:00:00Z,Yearling Coho,0.2838,0.362,0.206
2000-01-01T00:00:00Z,Yearling Coho,0.237,0.306,0.168
2001-01-01T00:00:00Z,Yearling Coho,0.4359,0.504,0.368
2002-01-01T00:00:00Z,Yearling Coho,0.4168,0.486,0.348
2003-01-01T00:00:00Z,Yearling Coho,0.4276,0.501,0.355
2004-01-01T00:00:00Z,Yearling Coho,0.2157,0.264,0.168
2005-01-01T00:00:00Z,Yearling Coho,0.0743,0.097,0.051
2006-01-01T00:00:00Z,Yearling Coho,0.2552,0.301,0.21
2007-01-01T00:00:00Z,Yearling Coho,0.4679,0.529,0.407
2008-01-01T00:00:00Z,Yearling Coho,0.4498,0.513,0.387
2009-01-01T00:00:00Z,Yearling Coho,0.3295,0.377,0.282
2010-01-01T00:00:00Z,Yearling Coho,0.3129,0.369,0.257
2011-01-01T00:00:00Z,Yearling Coho,0.2506,0.295,0.206
2012-01-01T00:00:00Z,Yearling Coho,0.2593,0.298,0.221
2013-01-01T00:00:00Z,Yearling Coho,0.4783,0.553,0.404
2014-01-01T00:00:00Z,Yearling Coho,0.3027,0.351,0.255
2015-01-01T00:00:00Z,Yearling Coho,0.2624,0.321,0.204
2016-01-01T00:00:00Z,Yearling Coho,0.2584,0.306,0.211
2017-01-01T00:00:00Z,Yearling Coho,0.0687,0.087,0.05
2018-01-01T00:00:00Z,Yearling Coho,0.4575,0.525,0.39
2019-01-01T00:00:00Z,Yearling Coho,0.25735,0.30892,0.20578
1999-01-01T00:00:00Z,Chrysaora,0.0779,0.104,0.051
2000-01-01T00:00:00Z,Chrysaora,0.3317,0.407,0.257
2001-01-01T00:00:00Z,Chrysaora,0.5955,0.748,0.443
2002-01-01T00:00:00Z,Chrysaora,0.9999,1.163,0.836
2003-01-01T00:00:00Z,Chrysaora,0.6785,0.826,0.531
2004-01-01T00:00:00Z,Chrysaora,1.0514,1.232,0.87
2005-01-01T00:00:00Z,Chrysaora,0.4967,0.635,0.358
2006-01-01T00:00:00Z,Chrysaora,0.6724,0.819,0.526
2007-01-01T00:00:00Z,Chrysaora,0.4146,0.547,0.282
2008-01-01T00:00:00Z,Chrysaora,0.706,0.853,0.559
2009-01-01T00:00:00Z,Chrysaora,0.5242,0.652,0.396
2010-01-01T00:00:00Z,Chrysaora,0.4279,0.514,0.342
2011-01-01T00:00:00Z,Chrysaora,0.422,0.521,0.323
2012-01-01T00:00:00Z,Chrysaora,0.2742,0.366,0.182
2013-01-01T00:00:00Z,Chrysaora,0.6057,0.729,0.482
2014-01-01T00:00:00Z,Chrysaora,0.5705,0.685,0.456
2015-01-01T00:00:00Z,Chrysaora,0.0681,0.096,0.04
2016-01-01T00:00:00Z,Chrysaora,0.1456,0.209,0.082
2017-01-01T00:00:00Z,Chrysaora,0.3838,0.479,0.288
2018-01-01T00:00:00Z,Chrysaora,0.6396,0.758,0.521
2019-01-01T00:00:00Z,Chrysaora,0.50373,0.60991,0.39755
1999-01-01T00:00:00Z,Aequorea,0.6407,0.806,0.475
2000-01-01T00:00:00Z,Aequorea,0.6663,0.81,0.523
2001-01-01T00:00:00Z,Aequorea,0.2325,0.307,0.158
2002-01-01T00:00:00Z,Aequorea,0.6842,0.794,0.575
2003-01-01T00:00:00Z,Aequorea,0.343,0.441,0.245
2004-01-01T00:00:00Z,Aequorea,0.5777,0.666,0.489
2005-01-01T00:00:00Z,Aequorea,0.107,0.145,0.069
2006-01-01T00:00:00Z,Aequorea,0.7785,0.909,0.648
2007-01-01T00:00:00Z,Aequorea,0.0549,0.09,0.02
2008-01-01T00:00:00Z,Aequorea,0.3749,0.458,0.292
2009-01-01T00:00:00Z,Aequorea,0.2444,0.334,0.155
2010-01-01T00:00:00Z,Aequorea,0.2699,0.322,0.217
2011-01-01T00:00:00Z,Aequorea,0.1576,0.218,0.097
2012-01-01T00:00:00Z,Aequorea,0.6112,0.746,0.477
2013-01-01T00:00:00Z,Aequorea,0.1879,0.236,0.14
2014-01-01T00:00:00Z,Aequorea,0.8414,0.945,0.737
2015-01-01T00:00:00Z,Aequorea,1.9612,2.099,1.824
2016-01-01T00:00:00Z,Aequorea,1.7234,1.864,1.582
2017-01-01T00:00:00Z,Aequorea,0.294,0.374,0.214
2018-01-01T00:00:00Z,Aequorea,1.2122,1.325,1.1
2019-01-01T00:00:00Z,Aequorea,0.75097,0.84698,0.65496
1998-01-01T00:00:00Z,Juvenile chum,0.0,0,0
1999-01-01T00:00:00Z,Juvenile chum,0.0221,0.038,0.006
2000-01-01T00:00:00Z,Juvenile chum,0.0137,0.027,0
2001-01-01T00:00:00Z,Juvenile chum,0.2383,0.299,0.177
2002-01-01T00:00:00Z,Juvenile chum,0.137,0.18,0.094
2003-01-01T00:00:00Z,Juvenile chum,0.2149,0.279,0.151
2004-01-01T00:00:00Z,Juvenile chum,0.0666,0.097,0.036
2005-01-01T00:00:00Z,Juvenile chum,0.0085,0.017,0
2006-01-01T00:00:00Z,Juvenile chum,0.1893,0.242,0.136
2007-01-01T00:00:00Z,Juvenile chum,0.2534,0.303,0.204
2008-01-01T00:00:00Z,Juvenile chum,0.2531,0.306,0.2
2009-01-01T00:00:00Z,Juvenile chum,0.1298,0.174,0.086
2010-01-01T00:00:00Z,Juvenile chum,0.1188,0.148,0.09
2011-01-01T00:00:00Z,Juvenile chum,0.0655,0.087,0.044
2012-01-01T00:00:00Z,Juvenile chum,0.0884,0.124,0.053
2013-01-01T00:00:00Z,Juvenile chum,0.3383,0.416,0.26
2014-01-01T00:00:00Z,Juvenile chum,0.119,0.149,0.089
2015-01-01T00:00:00Z,Juvenile chum,0.1649,0.209,0.121
2016-01-01T00:00:00Z,Juvenile chum,0.0594,0.08,0.039
2017-01-01T00:00:00Z,Juvenile chum,0.0457,0.063,0.029
2018-01-01T00:00:00Z,Juvenile chum,0.2128,0.261,0.165
2019-01-01T00:00:00Z,Juvenile chum,0.25195,0.31613,0.18777
1998-01-01T00:00:00Z,Juvenile sockeye,0.0,0,0
1999-01-01T00:00:00Z,Juvenile sockeye,0.0,0,0
2000-01-01T00:00:00Z,Juvenile sockeye,0.0076,0.015,0
2001-01-01T00:00:00Z,Juvenile sockeye,0.0446,0.06,0.029
2002-01-01T00:00:00Z,Juvenile sockeye,0.0272,0.042,0.013
2003-01-01T00:00:00Z,Juvenile sockeye,0.0485,0.072,0.025
2004-01-01T00:00:00Z,Juvenile sockeye,0.0399,0.056,0.024
2005-01-01T00:00:00Z,Juvenile sockeye,0.0137,0.024,0.004
2006-01-01T00:00:00Z,Juvenile sockeye,0.0136,0.02,0.007
2007-01-01T00:00:00Z,Juvenile sockeye,0.0799,0.101,0.059
2008-01-01T00:00:00Z,Juvenile sockeye,0.0532,0.068,0.038
2009-01-01T00:00:00Z,Juvenile sockeye,0.0084,0.015,0.002
2010-01-01T00:00:00Z,Juvenile sockeye,0.1279,0.16,0.096
2011-01-01T00:00:00Z,Juvenile sockeye,0.0194,0.029,0.01
2012-01-01T00:00:00Z,Juvenile sockeye,0.0047,0.009,0
2013-01-01T00:00:00Z,Juvenile sockeye,0.0694,0.098,0.04
2014-01-01T00:00:00Z,Juvenile sockeye,0.0458,0.061,0.031
2015-01-01T00:00:00Z,Juvenile sockeye,0.0546,0.077,0.032
2016-01-01T00:00:00Z,Juvenile sockeye,0.0077,0.012,0.003
2017-01-01T00:00:00Z,Juvenile sockeye,0.0,0,0
2018-01-01T00:00:00Z,Juvenile sockeye,0.0225,0.033,0.011
2019-01-01T00:00:00Z,Juvenile sockeye,0.01572,0.02175,0.0097
1998-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
1999-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2000-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2001-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2002-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2003-01-01T00:00:00Z,Pacific Pompano,0.038,0.06467,0.01133
2004-01-01T00:00:00Z,Pacific Pompano,0.019,0.0323,0.0057
2005-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2006-01-01T00:00:00Z,Pacific Pompano,0.016,0.03233,-3.3e-4
2007-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2008-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2009-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2010-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2011-01-01T00:00:00Z,Pacific Pompano,0.002,0.00429,-2.9e-4
2012-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2013-01-01T00:00:00Z,Pacific Pompano,0.0,0,0
2014-01-01T00:00:00Z,Pacific Pompano,0.018,0.03082,0.00518
2015-01-01T00:00:00Z,Pacific Pompano,0.057,0.1015,0.0125
2016-01-01T00:00:00Z,Pacific Pompano,0.14,0.20327,0.07673
2017-01-01T00:00:00Z,Pacific Pompano,0.104,0.15335,0.05465
2018-01-01T00:00:00Z,Pacific Pompano,0.055,0.091,0.019
2019-01-01T00:00:00Z,Pacific Pompano,0.028,0.04813,0.00787
1999-01-01T00:00:00Z,Aurelia,0.0,0,0
2000-01-01T00:00:00Z,Aurelia,0.133,0.1845,0.0815
2001-01-01T00:00:00Z,Aurelia,0.015,0.02131,0.00869
2002-01-01T00:00:00Z,Aurelia,0.025,0.03908,0.01092
2003-01-01T00:00:00Z,Aurelia,0.006,0.01038,0.00162
2004-01-01T00:00:00Z,Aurelia,0.046,0.0628,0.0292
2005-01-01T00:00:00Z,Aurelia,0.028,0.04069,0.01531
2006-01-01T00:00:00Z,Aurelia,0.02,0.03046,0.00954
2007-01-01T00:00:00Z,Aurelia,0.022,0.03368,0.01032
2008-01-01T00:00:00Z,Aurelia,0.013,0.02303,0.00297
2009-01-01T00:00:00Z,Aurelia,0.069,0.0997,0.0383
2010-01-01T00:00:00Z,Aurelia,0.057,0.07123,0.04277
2011-01-01T00:00:00Z,Aurelia,0.011,0.01795,0.00405
2012-01-01T00:00:00Z,Aurelia,0.005,0.00856,0.00144
2013-01-01T00:00:00Z,Aurelia,0.009,0.01427,0.00373
2014-01-01T00:00:00Z,Aurelia,0.021,0.02989,0.01211
2015-01-01T00:00:00Z,Aurelia,0.032,0.04442,0.01958
2016-01-01T00:00:00Z,Aurelia,0.063,0.07731,0.04869
2017-01-01T00:00:00Z,Aurelia,0.0,0,0
2018-01-01T00:00:00Z,Aurelia,0.088,0.1254,0.0506
2019-01-01T00:00:00Z,Aurelia,0.046,0.0607,0.0313
1999-01-01T00:00:00Z,Phacellophora,0.0,0,0
2000-01-01T00:00:00Z,Phacellophora,0.02,0.02822,0.01178
2001-01-01T00:00:00Z,Phacellophora,0.006,0.0101,0.0019
2002-01-01T00:00:00Z,Phacellophora,0.006,0.0103,0.0017
2003-01-01T00:00:00Z,Phacellophora,0.003,0.00561,3.9e-4
2004-01-01T00:00:00Z,Phacellophora,0.005,0.00855,0.00145
2005-01-01T00:00:00Z,Phacellophora,0.009,0.01527,0.00273
2006-01-01T00:00:00Z,Phacellophora,0.024,0.03368,0.01432
2007-01-01T00:00:00Z,Phacellophora,0.003,0.00581,1.9e-4
2008-01-01T00:00:00Z,Phacellophora,0.007,0.01098,0.00302
2009-01-01T00:00:00Z,Phacellophora,0.0,0,0
2010-01-01T00:00:00Z,Phacellophora,0.015,0.02174,0.00826
2011-01-01T00:00:00Z,Phacellophora,0.002,0.00402,-2e-5
2012-01-01T00:00:00Z,Phacellophora,0.035,0.04767,0.02233
2013-01-01T00:00:00Z,Phacellophora,0.002,0.00441,-4.1e-4
2014-01-01T00:00:00Z,Phacellophora,0.005,0.00853,0.00147
2015-01-01T00:00:00Z,Phacellophora,0.038,0.04884,0.02716
2016-01-01T00:00:00Z,Phacellophora,0.086,0.10666,0.06534
2017-01-01T00:00:00Z,Phacellophora,0.009,0.01433,0.00367
2018-01-01T00:00:00Z,Phacellophora,0.02,0.0264,0.0136
2019-01-01T00:00:00Z,Phacellophora,0.019,0.02712,0.01088
