time,average_ESI,vessel_category
1981-01-01T00:00:00Z,1.863,vess_rev_5k
1982-01-01T00:00:00Z,1.86,vess_rev_5k
1983-01-01T00:00:00Z,1.838,vess_rev_5k
1984-01-01T00:00:00Z,1.943,vess_rev_5k
1985-01-01T00:00:00Z,1.819,vess_rev_5k
1986-01-01T00:00:00Z,1.793,vess_rev_5k
1987-01-01T00:00:00Z,1.831,vess_rev_5k
1988-01-01T00:00:00Z,1.936,vess_rev_5k
1989-01-01T00:00:00Z,1.723,vess_rev_5k
1990-01-01T00:00:00Z,1.847,vess_rev_5k
1991-01-01T00:00:00Z,1.879,vess_rev_5k
1992-01-01T00:00:00Z,1.872,vess_rev_5k
1993-01-01T00:00:00Z,1.888,vess_rev_5k
1994-01-01T00:00:00Z,1.904,vess_rev_5k
1995-01-01T00:00:00Z,1.846,vess_rev_5k
1996-01-01T00:00:00Z,1.752,vess_rev_5k
1997-01-01T00:00:00Z,1.806,vess_rev_5k
1998-01-01T00:00:00Z,1.823,vess_rev_5k
1999-01-01T00:00:00Z,1.722,vess_rev_5k
2000-01-01T00:00:00Z,1.789,vess_rev_5k
2001-01-01T00:00:00Z,1.819,vess_rev_5k
2002-01-01T00:00:00Z,1.765,vess_rev_5k
2003-01-01T00:00:00Z,1.72,vess_rev_5k
2004-01-01T00:00:00Z,1.744,vess_rev_5k
2005-01-01T00:00:00Z,1.735,vess_rev_5k
2006-01-01T00:00:00Z,1.762,vess_rev_5k
2007-01-01T00:00:00Z,1.726,vess_rev_5k
2008-01-01T00:00:00Z,1.767,vess_rev_5k
2009-01-01T00:00:00Z,1.757,vess_rev_5k
2010-01-01T00:00:00Z,1.794,vess_rev_5k
2011-01-01T00:00:00Z,1.741,vess_rev_5k
2012-01-01T00:00:00Z,1.742,vess_rev_5k
2013-01-01T00:00:00Z,1.722,vess_rev_5k
2014-01-01T00:00:00Z,1.709,vess_rev_5k
2015-01-01T00:00:00Z,1.724,vess_rev_5k
2016-01-01T00:00:00Z,1.723,vess_rev_5k
2017-01-01T00:00:00Z,1.753,vess_rev_5k
2018-01-01T00:00:00Z,1.773,vess_rev_5k
1981-01-01T00:00:00Z,1.5,vess_rev_5_25k
1982-01-01T00:00:00Z,1.52,vess_rev_5_25k
1983-01-01T00:00:00Z,1.63,vess_rev_5_25k
1984-01-01T00:00:00Z,1.52,vess_rev_5_25k
1985-01-01T00:00:00Z,1.41,vess_rev_5_25k
1986-01-01T00:00:00Z,1.35,vess_rev_5_25k
1987-01-01T00:00:00Z,1.43,vess_rev_5_25k
1988-01-01T00:00:00Z,1.44,vess_rev_5_25k
1989-01-01T00:00:00Z,1.44,vess_rev_5_25k
1990-01-01T00:00:00Z,1.4,vess_rev_5_25k
1991-01-01T00:00:00Z,1.39,vess_rev_5_25k
1992-01-01T00:00:00Z,1.44,vess_rev_5_25k
1993-01-01T00:00:00Z,1.39,vess_rev_5_25k
1994-01-01T00:00:00Z,1.4,vess_rev_5_25k
1995-01-01T00:00:00Z,1.41,vess_rev_5_25k
1996-01-01T00:00:00Z,1.36,vess_rev_5_25k
1997-01-01T00:00:00Z,1.42,vess_rev_5_25k
1998-01-01T00:00:00Z,1.39,vess_rev_5_25k
1999-01-01T00:00:00Z,1.36,vess_rev_5_25k
2000-01-01T00:00:00Z,1.37,vess_rev_5_25k
2001-01-01T00:00:00Z,1.39,vess_rev_5_25k
2002-01-01T00:00:00Z,1.34,vess_rev_5_25k
2003-01-01T00:00:00Z,1.34,vess_rev_5_25k
2004-01-01T00:00:00Z,1.36,vess_rev_5_25k
2005-01-01T00:00:00Z,1.36,vess_rev_5_25k
2006-01-01T00:00:00Z,1.38,vess_rev_5_25k
2007-01-01T00:00:00Z,1.39,vess_rev_5_25k
2008-01-01T00:00:00Z,1.37,vess_rev_5_25k
2009-01-01T00:00:00Z,1.35,vess_rev_5_25k
2010-01-01T00:00:00Z,1.36,vess_rev_5_25k
2011-01-01T00:00:00Z,1.39,vess_rev_5_25k
2012-01-01T00:00:00Z,1.39,vess_rev_5_25k
2013-01-01T00:00:00Z,1.35,vess_rev_5_25k
2014-01-01T00:00:00Z,1.37,vess_rev_5_25k
2015-01-01T00:00:00Z,1.43,vess_rev_5_25k
2016-01-01T00:00:00Z,1.4,vess_rev_5_25k
2017-01-01T00:00:00Z,1.41,vess_rev_5_25k
2018-01-01T00:00:00Z,1.41,vess_rev_5_25k
1981-01-01T00:00:00Z,2.04,vess_rev_25-100k
1982-01-01T00:00:00Z,1.99,vess_rev_25-100k
1983-01-01T00:00:00Z,1.95,vess_rev_25-100k
1984-01-01T00:00:00Z,2.12,vess_rev_25-100k
1985-01-01T00:00:00Z,1.96,vess_rev_25-100k
1986-01-01T00:00:00Z,1.91,vess_rev_25-100k
1987-01-01T00:00:00Z,1.87,vess_rev_25-100k
1988-01-01T00:00:00Z,2.03,vess_rev_25-100k
1989-01-01T00:00:00Z,1.81,vess_rev_25-100k
1990-01-01T00:00:00Z,1.91,vess_rev_25-100k
1991-01-01T00:00:00Z,1.9,vess_rev_25-100k
1992-01-01T00:00:00Z,1.8,vess_rev_25-100k
1993-01-01T00:00:00Z,1.85,vess_rev_25-100k
1994-01-01T00:00:00Z,1.86,vess_rev_25-100k
1995-01-01T00:00:00Z,1.83,vess_rev_25-100k
1996-01-01T00:00:00Z,1.65,vess_rev_25-100k
1997-01-01T00:00:00Z,1.69,vess_rev_25-100k
1998-01-01T00:00:00Z,1.75,vess_rev_25-100k
1999-01-01T00:00:00Z,1.62,vess_rev_25-100k
2000-01-01T00:00:00Z,1.71,vess_rev_25-100k
2001-01-01T00:00:00Z,1.71,vess_rev_25-100k
2002-01-01T00:00:00Z,1.7,vess_rev_25-100k
2003-01-01T00:00:00Z,1.62,vess_rev_25-100k
2004-01-01T00:00:00Z,1.65,vess_rev_25-100k
2005-01-01T00:00:00Z,1.68,vess_rev_25-100k
2006-01-01T00:00:00Z,1.69,vess_rev_25-100k
2007-01-01T00:00:00Z,1.62,vess_rev_25-100k
2008-01-01T00:00:00Z,1.68,vess_rev_25-100k
2009-01-01T00:00:00Z,1.65,vess_rev_25-100k
2010-01-01T00:00:00Z,1.73,vess_rev_25-100k
2011-01-01T00:00:00Z,1.65,vess_rev_25-100k
2012-01-01T00:00:00Z,1.65,vess_rev_25-100k
2013-01-01T00:00:00Z,1.67,vess_rev_25-100k
2014-01-01T00:00:00Z,1.6,vess_rev_25-100k
2015-01-01T00:00:00Z,1.62,vess_rev_25-100k
2016-01-01T00:00:00Z,1.63,vess_rev_25-100k
2017-01-01T00:00:00Z,1.67,vess_rev_25-100k
2018-01-01T00:00:00Z,1.71,vess_rev_25-100k
1981-01-01T00:00:00Z,2.14,vess_rev_100k
1982-01-01T00:00:00Z,2.25,vess_rev_100k
1983-01-01T00:00:00Z,2.02,vess_rev_100k
1984-01-01T00:00:00Z,2.24,vess_rev_100k
1985-01-01T00:00:00Z,2.21,vess_rev_100k
1986-01-01T00:00:00Z,2.29,vess_rev_100k
1987-01-01T00:00:00Z,2.4,vess_rev_100k
1988-01-01T00:00:00Z,2.55,vess_rev_100k
1989-01-01T00:00:00Z,2.01,vess_rev_100k
1990-01-01T00:00:00Z,2.35,vess_rev_100k
1991-01-01T00:00:00Z,2.45,vess_rev_100k
1992-01-01T00:00:00Z,2.45,vess_rev_100k
1993-01-01T00:00:00Z,2.49,vess_rev_100k
1994-01-01T00:00:00Z,2.47,vess_rev_100k
1995-01-01T00:00:00Z,2.3,vess_rev_100k
1996-01-01T00:00:00Z,2.26,vess_rev_100k
1997-01-01T00:00:00Z,2.31,vess_rev_100k
1998-01-01T00:00:00Z,2.24,vess_rev_100k
1999-01-01T00:00:00Z,2.12,vess_rev_100k
2000-01-01T00:00:00Z,2.19,vess_rev_100k
2001-01-01T00:00:00Z,2.26,vess_rev_100k
2002-01-01T00:00:00Z,2.15,vess_rev_100k
2003-01-01T00:00:00Z,2.11,vess_rev_100k
2004-01-01T00:00:00Z,2.14,vess_rev_100k
2005-01-01T00:00:00Z,2.07,vess_rev_100k
2006-01-01T00:00:00Z,2.1,vess_rev_100k
2007-01-01T00:00:00Z,2.09,vess_rev_100k
2008-01-01T00:00:00Z,2.11,vess_rev_100k
2009-01-01T00:00:00Z,2.12,vess_rev_100k
2010-01-01T00:00:00Z,2.12,vess_rev_100k
2011-01-01T00:00:00Z,2.07,vess_rev_100k
2012-01-01T00:00:00Z,2.07,vess_rev_100k
2013-01-01T00:00:00Z,1.99,vess_rev_100k
2014-01-01T00:00:00Z,2.04,vess_rev_100k
2015-01-01T00:00:00Z,2.0,vess_rev_100k
2016-01-01T00:00:00Z,2.0,vess_rev_100k
2017-01-01T00:00:00Z,2.0,vess_rev_100k
2018-01-01T00:00:00Z,2.0,vess_rev_100k
1981-01-01T00:00:00Z,1.54,vess_rev_5k_len_41
1982-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1983-01-01T00:00:00Z,1.57,vess_rev_5k_len_41
1984-01-01T00:00:00Z,1.68,vess_rev_5k_len_41
1985-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1986-01-01T00:00:00Z,1.49,vess_rev_5k_len_41
1987-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
1988-01-01T00:00:00Z,1.6,vess_rev_5k_len_41
1989-01-01T00:00:00Z,1.47,vess_rev_5k_len_41
1990-01-01T00:00:00Z,1.54,vess_rev_5k_len_41
1991-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1992-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
1993-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1994-01-01T00:00:00Z,1.57,vess_rev_5k_len_41
1995-01-01T00:00:00Z,1.56,vess_rev_5k_len_41
1996-01-01T00:00:00Z,1.46,vess_rev_5k_len_41
1997-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
1998-01-01T00:00:00Z,1.55,vess_rev_5k_len_41
1999-01-01T00:00:00Z,1.46,vess_rev_5k_len_41
2000-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2001-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
2002-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2003-01-01T00:00:00Z,1.46,vess_rev_5k_len_41
2004-01-01T00:00:00Z,1.49,vess_rev_5k_len_41
2005-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2006-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
2007-01-01T00:00:00Z,1.48,vess_rev_5k_len_41
2008-01-01T00:00:00Z,1.54,vess_rev_5k_len_41
2009-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
2010-01-01T00:00:00Z,1.57,vess_rev_5k_len_41
2011-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2012-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2013-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
2014-01-01T00:00:00Z,1.49,vess_rev_5k_len_41
2015-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2016-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
2017-01-01T00:00:00Z,1.56,vess_rev_5k_len_41
2018-01-01T00:00:00Z,1.58,vess_rev_5k_len_41
1981-01-01T00:00:00Z,2.01,vess_rev_5k_len_41-80
1982-01-01T00:00:00Z,2.04,vess_rev_5k_len_41-80
1983-01-01T00:00:00Z,1.95,vess_rev_5k_len_41-80
1984-01-01T00:00:00Z,2.12,vess_rev_5k_len_41-80
1985-01-01T00:00:00Z,2.09,vess_rev_5k_len_41-80
1986-01-01T00:00:00Z,2.16,vess_rev_5k_len_41-80
1987-01-01T00:00:00Z,2.33,vess_rev_5k_len_41-80
1988-01-01T00:00:00Z,2.45,vess_rev_5k_len_41-80
1989-01-01T00:00:00Z,2.03,vess_rev_5k_len_41-80
1990-01-01T00:00:00Z,2.29,vess_rev_5k_len_41-80
1991-01-01T00:00:00Z,2.42,vess_rev_5k_len_41-80
1992-01-01T00:00:00Z,2.45,vess_rev_5k_len_41-80
1993-01-01T00:00:00Z,2.52,vess_rev_5k_len_41-80
1994-01-01T00:00:00Z,2.53,vess_rev_5k_len_41-80
1995-01-01T00:00:00Z,2.34,vess_rev_5k_len_41-80
1996-01-01T00:00:00Z,2.22,vess_rev_5k_len_41-80
1997-01-01T00:00:00Z,2.37,vess_rev_5k_len_41-80
1998-01-01T00:00:00Z,2.29,vess_rev_5k_len_41-80
1999-01-01T00:00:00Z,2.19,vess_rev_5k_len_41-80
2000-01-01T00:00:00Z,2.25,vess_rev_5k_len_41-80
2001-01-01T00:00:00Z,2.35,vess_rev_5k_len_41-80
2002-01-01T00:00:00Z,2.17,vess_rev_5k_len_41-80
2003-01-01T00:00:00Z,2.1,vess_rev_5k_len_41-80
2004-01-01T00:00:00Z,2.17,vess_rev_5k_len_41-80
2005-01-01T00:00:00Z,2.14,vess_rev_5k_len_41-80
2006-01-01T00:00:00Z,2.18,vess_rev_5k_len_41-80
2007-01-01T00:00:00Z,2.17,vess_rev_5k_len_41-80
2008-01-01T00:00:00Z,2.16,vess_rev_5k_len_41-80
2009-01-01T00:00:00Z,2.19,vess_rev_5k_len_41-80
2010-01-01T00:00:00Z,2.18,vess_rev_5k_len_41-80
2011-01-01T00:00:00Z,2.16,vess_rev_5k_len_41-80
2012-01-01T00:00:00Z,2.18,vess_rev_5k_len_41-80
2013-01-01T00:00:00Z,2.06,vess_rev_5k_len_41-80
2014-01-01T00:00:00Z,2.15,vess_rev_5k_len_41-80
2015-01-01T00:00:00Z,2.14,vess_rev_5k_len_41-80
2016-01-01T00:00:00Z,2.1,vess_rev_5k_len_41-80
2017-01-01T00:00:00Z,2.09,vess_rev_5k_len_41-80
2018-01-01T00:00:00Z,2.1,vess_rev_5k_len_41-80
1981-01-01T00:00:00Z,1.99,vess_rev_5k_len_81-125
1982-01-01T00:00:00Z,2.01,vess_rev_5k_len_81-125
1983-01-01T00:00:00Z,1.83,vess_rev_5k_len_81-125
1984-01-01T00:00:00Z,1.86,vess_rev_5k_len_81-125
1985-01-01T00:00:00Z,2.07,vess_rev_5k_len_81-125
1986-01-01T00:00:00Z,2.16,vess_rev_5k_len_81-125
1987-01-01T00:00:00Z,2.12,vess_rev_5k_len_81-125
1988-01-01T00:00:00Z,2.24,vess_rev_5k_len_81-125
1989-01-01T00:00:00Z,2.21,vess_rev_5k_len_81-125
1990-01-01T00:00:00Z,2.48,vess_rev_5k_len_81-125
1991-01-01T00:00:00Z,2.58,vess_rev_5k_len_81-125
1992-01-01T00:00:00Z,2.71,vess_rev_5k_len_81-125
1993-01-01T00:00:00Z,2.72,vess_rev_5k_len_81-125
1994-01-01T00:00:00Z,2.43,vess_rev_5k_len_81-125
1995-01-01T00:00:00Z,2.37,vess_rev_5k_len_81-125
1996-01-01T00:00:00Z,2.8,vess_rev_5k_len_81-125
1997-01-01T00:00:00Z,2.58,vess_rev_5k_len_81-125
1998-01-01T00:00:00Z,2.35,vess_rev_5k_len_81-125
1999-01-01T00:00:00Z,2.28,vess_rev_5k_len_81-125
2000-01-01T00:00:00Z,2.49,vess_rev_5k_len_81-125
2001-01-01T00:00:00Z,2.34,vess_rev_5k_len_81-125
2002-01-01T00:00:00Z,2.35,vess_rev_5k_len_81-125
2003-01-01T00:00:00Z,2.47,vess_rev_5k_len_81-125
2004-01-01T00:00:00Z,2.45,vess_rev_5k_len_81-125
2005-01-01T00:00:00Z,2.15,vess_rev_5k_len_81-125
2006-01-01T00:00:00Z,2.34,vess_rev_5k_len_81-125
2007-01-01T00:00:00Z,2.35,vess_rev_5k_len_81-125
2008-01-01T00:00:00Z,2.31,vess_rev_5k_len_81-125
2009-01-01T00:00:00Z,2.3,vess_rev_5k_len_81-125
2010-01-01T00:00:00Z,2.36,vess_rev_5k_len_81-125
2011-01-01T00:00:00Z,2.26,vess_rev_5k_len_81-125
2012-01-01T00:00:00Z,2.19,vess_rev_5k_len_81-125
2013-01-01T00:00:00Z,2.04,vess_rev_5k_len_81-125
2014-01-01T00:00:00Z,2.16,vess_rev_5k_len_81-125
2015-01-01T00:00:00Z,2.12,vess_rev_5k_len_81-125
2016-01-01T00:00:00Z,2.19,vess_rev_5k_len_81-125
2017-01-01T00:00:00Z,2.14,vess_rev_5k_len_81-125
2018-01-01T00:00:00Z,2.19,vess_rev_5k_len_81-125
1981-01-01T00:00:00Z,1.88,vess_2018_WA_rev_5k
1982-01-01T00:00:00Z,1.92,vess_2018_WA_rev_5k
1983-01-01T00:00:00Z,1.82,vess_2018_WA_rev_5k
1984-01-01T00:00:00Z,2.03,vess_2018_WA_rev_5k
1985-01-01T00:00:00Z,2.03,vess_2018_WA_rev_5k
1986-01-01T00:00:00Z,2.09,vess_2018_WA_rev_5k
1987-01-01T00:00:00Z,2.26,vess_2018_WA_rev_5k
1988-01-01T00:00:00Z,2.2,vess_2018_WA_rev_5k
1989-01-01T00:00:00Z,1.86,vess_2018_WA_rev_5k
1990-01-01T00:00:00Z,2.05,vess_2018_WA_rev_5k
1991-01-01T00:00:00Z,2.14,vess_2018_WA_rev_5k
1992-01-01T00:00:00Z,2.24,vess_2018_WA_rev_5k
1993-01-01T00:00:00Z,2.21,vess_2018_WA_rev_5k
1994-01-01T00:00:00Z,2.26,vess_2018_WA_rev_5k
1995-01-01T00:00:00Z,2.07,vess_2018_WA_rev_5k
1996-01-01T00:00:00Z,2.02,vess_2018_WA_rev_5k
1997-01-01T00:00:00Z,2.12,vess_2018_WA_rev_5k
1998-01-01T00:00:00Z,2.14,vess_2018_WA_rev_5k
1999-01-01T00:00:00Z,2.0,vess_2018_WA_rev_5k
2000-01-01T00:00:00Z,1.99,vess_2018_WA_rev_5k
2001-01-01T00:00:00Z,2.03,vess_2018_WA_rev_5k
2002-01-01T00:00:00Z,1.9,vess_2018_WA_rev_5k
2003-01-01T00:00:00Z,1.85,vess_2018_WA_rev_5k
2004-01-01T00:00:00Z,1.93,vess_2018_WA_rev_5k
2005-01-01T00:00:00Z,1.88,vess_2018_WA_rev_5k
2006-01-01T00:00:00Z,1.88,vess_2018_WA_rev_5k
2007-01-01T00:00:00Z,1.9,vess_2018_WA_rev_5k
2008-01-01T00:00:00Z,1.81,vess_2018_WA_rev_5k
2009-01-01T00:00:00Z,1.88,vess_2018_WA_rev_5k
2010-01-01T00:00:00Z,1.83,vess_2018_WA_rev_5k
2011-01-01T00:00:00Z,1.76,vess_2018_WA_rev_5k
2012-01-01T00:00:00Z,1.78,vess_2018_WA_rev_5k
2013-01-01T00:00:00Z,1.69,vess_2018_WA_rev_5k
2014-01-01T00:00:00Z,1.76,vess_2018_WA_rev_5k
2015-01-01T00:00:00Z,1.74,vess_2018_WA_rev_5k
2016-01-01T00:00:00Z,1.71,vess_2018_WA_rev_5k
2017-01-01T00:00:00Z,1.67,vess_2018_WA_rev_5k
2018-01-01T00:00:00Z,1.63,vess_2018_WA_rev_5k
1981-01-01T00:00:00Z,1.84,vess_2018_OR_rev_5k
1982-01-01T00:00:00Z,1.77,vess_2018_OR_rev_5k
1983-01-01T00:00:00Z,1.8,vess_2018_OR_rev_5k
1984-01-01T00:00:00Z,1.87,vess_2018_OR_rev_5k
1985-01-01T00:00:00Z,1.8,vess_2018_OR_rev_5k
1986-01-01T00:00:00Z,1.87,vess_2018_OR_rev_5k
1987-01-01T00:00:00Z,1.98,vess_2018_OR_rev_5k
1988-01-01T00:00:00Z,1.91,vess_2018_OR_rev_5k
1989-01-01T00:00:00Z,1.8,vess_2018_OR_rev_5k
1990-01-01T00:00:00Z,1.87,vess_2018_OR_rev_5k
1991-01-01T00:00:00Z,1.97,vess_2018_OR_rev_5k
1992-01-01T00:00:00Z,2.09,vess_2018_OR_rev_5k
1993-01-01T00:00:00Z,2.12,vess_2018_OR_rev_5k
1994-01-01T00:00:00Z,2.05,vess_2018_OR_rev_5k
1995-01-01T00:00:00Z,1.98,vess_2018_OR_rev_5k
1996-01-01T00:00:00Z,2.05,vess_2018_OR_rev_5k
1997-01-01T00:00:00Z,2.14,vess_2018_OR_rev_5k
1998-01-01T00:00:00Z,2.07,vess_2018_OR_rev_5k
1999-01-01T00:00:00Z,2.0,vess_2018_OR_rev_5k
2000-01-01T00:00:00Z,1.97,vess_2018_OR_rev_5k
2001-01-01T00:00:00Z,1.99,vess_2018_OR_rev_5k
2002-01-01T00:00:00Z,1.94,vess_2018_OR_rev_5k
2003-01-01T00:00:00Z,1.95,vess_2018_OR_rev_5k
2004-01-01T00:00:00Z,1.91,vess_2018_OR_rev_5k
2005-01-01T00:00:00Z,1.91,vess_2018_OR_rev_5k
2006-01-01T00:00:00Z,1.86,vess_2018_OR_rev_5k
2007-01-01T00:00:00Z,1.92,vess_2018_OR_rev_5k
2008-01-01T00:00:00Z,1.84,vess_2018_OR_rev_5k
2009-01-01T00:00:00Z,1.85,vess_2018_OR_rev_5k
2010-01-01T00:00:00Z,1.83,vess_2018_OR_rev_5k
2011-01-01T00:00:00Z,1.82,vess_2018_OR_rev_5k
2012-01-01T00:00:00Z,1.83,vess_2018_OR_rev_5k
2013-01-01T00:00:00Z,1.7,vess_2018_OR_rev_5k
2014-01-01T00:00:00Z,1.74,vess_2018_OR_rev_5k
2015-01-01T00:00:00Z,1.78,vess_2018_OR_rev_5k
2016-01-01T00:00:00Z,1.7,vess_2018_OR_rev_5k
2017-01-01T00:00:00Z,1.67,vess_2018_OR_rev_5k
2018-01-01T00:00:00Z,1.64,vess_2018_OR_rev_5k
1981-01-01T00:00:00Z,1.85,vess_2018_CA_rev_5k
1982-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1983-01-01T00:00:00Z,1.85,vess_2018_CA_rev_5k
1984-01-01T00:00:00Z,1.8,vess_2018_CA_rev_5k
1985-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1986-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1987-01-01T00:00:00Z,1.82,vess_2018_CA_rev_5k
1988-01-01T00:00:00Z,1.85,vess_2018_CA_rev_5k
