time,abundance,Seup,Selo,CV,common_name,scientific_name
1974-01-01T00:00:00Z,71,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1975-01-01T00:00:00Z,71,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1976-01-01T00:00:00Z,71,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1977-01-01T00:00:00Z,79,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1978-01-01T00:00:00Z,79,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1979-01-01T00:00:00Z,81,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1980-01-01T00:00:00Z,83,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1981-01-01T00:00:00Z,81,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1982-01-01T00:00:00Z,78,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1983-01-01T00:00:00Z,76,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1984-01-01T00:00:00Z,74,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1985-01-01T00:00:00Z,77,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1986-01-01T00:00:00Z,81,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1987-01-01T00:00:00Z,84,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1988-01-01T00:00:00Z,85,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1989-01-01T00:00:00Z,85,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1990-01-01T00:00:00Z,89,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1991-01-01T00:00:00Z,92,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1992-01-01T00:00:00Z,91,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1993-01-01T00:00:00Z,97,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1994-01-01T00:00:00Z,96,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1995-01-01T00:00:00Z,99,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1996-01-01T00:00:00Z,97,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1997-01-01T00:00:00Z,92,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1998-01-01T00:00:00Z,89,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1999-01-01T00:00:00Z,85,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2000-01-01T00:00:00Z,82,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2001-01-01T00:00:00Z,79,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2002-01-01T00:00:00Z,80,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2003-01-01T00:00:00Z,83,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2004-01-01T00:00:00Z,84,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2005-01-01T00:00:00Z,91,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2006-01-01T00:00:00Z,89,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2007-01-01T00:00:00Z,86,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2008-01-01T00:00:00Z,85,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2009-01-01T00:00:00Z,85,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2010-01-01T00:00:00Z,86,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2011-01-01T00:00:00Z,87,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2012-01-01T00:00:00Z,85,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2013-01-01T00:00:00Z,82,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2014-01-01T00:00:00Z,78,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2015-01-01T00:00:00Z,81,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2016-01-01T00:00:00Z,83,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
2017-01-01T00:00:00Z,77,NA,NA,NA,Southern Resident Killer whale,Orcinus orca
1967-01-01T00:00:00Z,13426,15899.606,10952.394,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1968-01-01T00:00:00Z,14548,16829.127,12266.874,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1969-01-01T00:00:00Z,14553,16920.482,12185.518,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1970-01-01T00:00:00Z,12771,14798.524,10743.476,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1971-01-01T00:00:00Z,11079,13098.48,9059.52,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1972-01-01T00:00:00Z,17365,20087.832,14642.168,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1973-01-01T00:00:00Z,17375,20167.51,14582.49,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1974-01-01T00:00:00Z,15290,17807.346,12772.654,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1975-01-01T00:00:00Z,17564,20524.588,14603.412,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1976-01-01T00:00:00Z,18377,21258.514,15495.486,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1977-01-01T00:00:00Z,19538,22907.914,16168.086,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1978-01-01T00:00:00Z,15384,17796.21,12971.789,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1979-01-01T00:00:00Z,19763,22978.045,16547.955,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1984-01-01T00:00:00Z,23499,27598.166,19399.834,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1985-01-01T00:00:00Z,22921,26604.863,19237.137,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1987-01-01T00:00:00Z,26916,29975.81,23856.19,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1992-01-01T00:00:00Z,15762,17862.76,13661.24,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1993-01-01T00:00:00Z,20103,22270.104,17935.896,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1995-01-01T00:00:00Z,20944,23448.064,18439.936,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
1997-01-01T00:00:00Z,21135,23951.873,18318.127,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
2000-01-01T00:00:00Z,16369,18326.078,14411.922,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
2001-01-01T00:00:00Z,16033,18201.303,13864.697,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
2006-01-01T00:00:00Z,19126,21787.574,16464.426,NA,Eastern North Pacific Gray whale,Eschrichtius robustus
2007-01-01T00:00:00Z,17820,19920,16150,0.054,Eastern North Pacific Gray whale,Eschrichtius robustus
2009-01-01T00:00:00Z,21210,23250,19420,0.046,Eastern North Pacific Gray whale,Eschrichtius robustus
2010-01-01T00:00:00Z,20990,22900,19230,0.044,Eastern North Pacific Gray whale,Eschrichtius robustus
2014-01-01T00:00:00Z,28790,39210,23620,0.13,Eastern North Pacific Gray whale,Eschrichtius robustus
2015-01-01T00:00:00Z,26960,29830,24420,0.05,Eastern North Pacific Gray whale,Eschrichtius robustus
1986-01-01T00:00:00Z,289,398,230,NA,Bottlenose dolphins - coastal CA stock,Tursiops truncatus
1989-01-01T00:00:00Z,354,390,330,NA,Bottlenose dolphins - coastal CA stock,Tursiops truncatus
1998-01-01T00:00:00Z,356,437,306,NA,Bottlenose dolphins - coastal CA stock,Tursiops truncatus
2005-01-01T00:00:00Z,323,430,259,NA,Bottlenose dolphins - coastal CA stock,Tursiops truncatus
2011-01-01T00:00:00Z,453,524,411,NA,Bottlenose dolphins - coastal CA stock,Tursiops truncatus
1996-01-01T00:00:00Z,465341,NA,NA,0.24,Short-beaked common dolphin,Delphinus delphis delphis
2001-01-01T00:00:00Z,558002,NA,NA,0.36,Short-beaked common dolphin,Delphinus delphis delphis
2005-01-01T00:00:00Z,693117,NA,NA,0.25,Short-beaked common dolphin,Delphinus delphis delphis
2008-01-01T00:00:00Z,658901,NA,NA,0.24,Short-beaked common dolphin,Delphinus delphis delphis
2014-01-01T00:00:00Z,1427576,NA,NA,0.25,Short-beaked common dolphin,Delphinus delphis delphis
1996-01-01T00:00:00Z,57265,NA,NA,0.71,Dalls porpoise,Phocoenoides dalli dalli
2001-01-01T00:00:00Z,27885,NA,NA,0.57,Dalls porpoise,Phocoenoides dalli dalli
2005-01-01T00:00:00Z,45752,NA,NA,0.75,Dalls porpoise,Phocoenoides dalli dalli
2008-01-01T00:00:00Z,30172,NA,NA,0.61,Dalls porpoise,Phocoenoides dalli dalli
2014-01-01T00:00:00Z,21976,NA,NA,0.72,Dalls porpoise,Phocoenoides dalli dalli
1996-01-01T00:00:00Z,4795,NA,NA,0.31,Fin whale,Balaenoptera physalus physalus
2001-01-01T00:00:00Z,5101,NA,NA,0.65,Fin whale,Balaenoptera physalus physalus
2005-01-01T00:00:00Z,8247,NA,NA,0.34,Fin whale,Balaenoptera physalus physalus
2008-01-01T00:00:00Z,7302,NA,NA,0.27,Fin whale,Balaenoptera physalus physalus
2014-01-01T00:00:00Z,9892,NA,NA,0.38,Fin whale,Balaenoptera physalus physalus
1996-01-01T00:00:00Z,2936,NA,NA,0.47,blue whale,Balaenoptera musculus musculus
2001-01-01T00:00:00Z,972,NA,NA,0.45,blue whale,Balaenoptera musculus musculus
2005-01-01T00:00:00Z,1466,NA,NA,0.45,blue whale,Balaenoptera musculus musculus
2008-01-01T00:00:00Z,878,NA,NA,0.51,blue whale,Balaenoptera musculus musculus
2014-01-01T00:00:00Z,1496,NA,NA,0.44,blue whale,Balaenoptera musculus musculus
1996-01-01T00:00:00Z,1742,NA,NA,0.53,humpback whale,Megaptera novaeangliea
2001-01-01T00:00:00Z,1295,NA,NA,0.59,humpback whale,Megaptera novaeangliea
2005-01-01T00:00:00Z,1623,NA,NA,0.52,humpback whale,Megaptera novaeangliea
2008-01-01T00:00:00Z,1313,NA,NA,0.6,humpback whale,Megaptera novaeangliea
2014-01-01T00:00:00Z,3064,NA,NA,0.82,humpback whale,Megaptera novaeangliea
