time,population,abundance_anomaly
1985-01-01T00:00:00Z,Lower Columbia R,-0.44939744
1986-01-01T00:00:00Z,Lower Columbia R,-0.5118537
1987-01-01T00:00:00Z,Lower Columbia R,0.78491235
1988-01-01T00:00:00Z,Lower Columbia R,1.3770847
1989-01-01T00:00:00Z,Lower Columbia R,1.4582295
1990-01-01T00:00:00Z,Lower Columbia R,-0.34370598
1991-01-01T00:00:00Z,Lower Columbia R,-0.41487706
1992-01-01T00:00:00Z,Lower Columbia R,-0.7080341
1993-01-01T00:00:00Z,Lower Columbia R,-0.6951071
1994-01-01T00:00:00Z,Lower Columbia R,-0.43124157
1995-01-01T00:00:00Z,Lower Columbia R,-0.5490854
1996-01-01T00:00:00Z,Lower Columbia R,0.03563102
1997-01-01T00:00:00Z,Lower Columbia R,-0.33392602
1998-01-01T00:00:00Z,Lower Columbia R,-0.66751015
1999-01-01T00:00:00Z,Lower Columbia R,-0.9150112
2000-01-01T00:00:00Z,Lower Columbia R,-0.68232536
2001-01-01T00:00:00Z,Lower Columbia R,0.5285512
2002-01-01T00:00:00Z,Lower Columbia R,2.2757285
2003-01-01T00:00:00Z,Lower Columbia R,3.279047
2004-01-01T00:00:00Z,Lower Columbia R,1.7388469
2005-01-01T00:00:00Z,Lower Columbia R,0.28545603
2006-01-01T00:00:00Z,Lower Columbia R,-0.02987542
2007-01-01T00:00:00Z,Lower Columbia R,-0.8378366
2008-01-01T00:00:00Z,Lower Columbia R,-0.51398396
2009-01-01T00:00:00Z,Lower Columbia R,-0.2913686
2010-01-01T00:00:00Z,Lower Columbia R,-0.7098255
2011-01-01T00:00:00Z,Lower Columbia R,-0.7799314
2012-01-01T00:00:00Z,Lower Columbia R,-0.8270883
2013-01-01T00:00:00Z,Lower Columbia R,-0.13387235
2014-01-01T00:00:00Z,Lower Columbia R,-0.029100768
2015-01-01T00:00:00Z,Lower Columbia R,0.41240197
2016-01-01T00:00:00Z,Lower Columbia R,-0.50420403
2017-01-01T00:00:00Z,Lower Columbia R,-0.81672734
2018-01-01T00:00:00Z,Lower Columbia R,0.0
1974-01-01T00:00:00Z,Willamette Spr,0.2787502
1975-01-01T00:00:00Z,Willamette Spr,-0.9632165
1976-01-01T00:00:00Z,Willamette Spr,-1.2430744
1977-01-01T00:00:00Z,Willamette Spr,-0.7565682
1978-01-01T00:00:00Z,Willamette Spr,-1.1096357
1979-01-01T00:00:00Z,Willamette Spr,-1.2290555
1980-01-01T00:00:00Z,Willamette Spr,-0.58886117
1981-01-01T00:00:00Z,Willamette Spr,-0.7695486
1982-01-01T00:00:00Z,Willamette Spr,-0.73164576
1983-01-01T00:00:00Z,Willamette Spr,-0.64441735
1984-01-01T00:00:00Z,Willamette Spr,-0.8474311
1985-01-01T00:00:00Z,Willamette Spr,-1.0987321
1986-01-01T00:00:00Z,Willamette Spr,-0.9543898
1987-01-01T00:00:00Z,Willamette Spr,-0.16050723
1988-01-01T00:00:00Z,Willamette Spr,1.6032724
1989-01-01T00:00:00Z,Willamette Spr,0.056006193
1990-01-01T00:00:00Z,Willamette Spr,1.7798061
1991-01-01T00:00:00Z,Willamette Spr,0.27926946
1992-01-01T00:00:00Z,Willamette Spr,0.044064205
1993-01-01T00:00:00Z,Willamette Spr,0.22890541
1994-01-01T00:00:00Z,Willamette Spr,-0.84483504
1995-01-01T00:00:00Z,Willamette Spr,-0.89987206
1996-01-01T00:00:00Z,Willamette Spr,-0.96477413
1997-01-01T00:00:00Z,Willamette Spr,-0.9673702
1998-01-01T00:00:00Z,Willamette Spr,-0.6958198
1999-01-01T00:00:00Z,Willamette Spr,-0.8396429
2000-01-01T00:00:00Z,Willamette Spr,-0.28771538
2001-01-01T00:00:00Z,Willamette Spr,0.7917365
2002-01-01T00:00:00Z,Willamette Spr,1.0336915
2003-01-01T00:00:00Z,Willamette Spr,2.2117946
2004-01-01T00:00:00Z,Willamette Spr,3.0524068
2005-01-01T00:00:00Z,Willamette Spr,0.58716506
2006-01-01T00:00:00Z,Willamette Spr,-0.11741224
2007-01-01T00:00:00Z,Willamette Spr,0.4012854
2008-01-01T00:00:00Z,Willamette Spr,0.090274505
2009-01-01T00:00:00Z,Willamette Spr,-0.59145725
2010-01-01T00:00:00Z,Willamette Spr,-0.22333248
2011-01-01T00:00:00Z,Willamette Spr,0.6473942
2012-01-01T00:00:00Z,Willamette Spr,0.35663277
2013-01-01T00:00:00Z,Willamette Spr,0.3337872
2014-01-01T00:00:00Z,Willamette Spr,-0.53018963
2015-01-01T00:00:00Z,Willamette Spr,0.73410344
2016-01-01T00:00:00Z,Willamette Spr,1.4293348
2017-01-01T00:00:00Z,Willamette Spr,1.4122007
2018-01-01T00:00:00Z,Willamette Spr,0.70762336
1975-01-01T00:00:00Z,Snake Fall,-0.4993117
1976-01-01T00:00:00Z,Snake Fall,-0.615203
1977-01-01T00:00:00Z,Snake Fall,-0.58677685
1978-01-01T00:00:00Z,Snake Fall,-0.57803035
1979-01-01T00:00:00Z,Snake Fall,-0.6086431
1980-01-01T00:00:00Z,Snake Fall,-0.6195763
1981-01-01T00:00:00Z,Snake Fall,-0.6436292
1982-01-01T00:00:00Z,Snake Fall,-0.5605373
1983-01-01T00:00:00Z,Snake Fall,-0.62438685
1984-01-01T00:00:00Z,Snake Fall,-0.6471278
1985-01-01T00:00:00Z,Snake Fall,-0.62220025
1986-01-01T00:00:00Z,Snake Fall,-0.61979496
1987-01-01T00:00:00Z,Snake Fall,-0.66265285
1988-01-01T00:00:00Z,Snake Fall,-0.63750666
1989-01-01T00:00:00Z,Snake Fall,-0.653469
1990-01-01T00:00:00Z,Snake Fall,-0.70091885
1991-01-01T00:00:00Z,Snake Fall,-0.64843976
1992-01-01T00:00:00Z,Snake Fall,-0.59792864
1993-01-01T00:00:00Z,Snake Fall,-0.5557267
1994-01-01T00:00:00Z,Snake Fall,-0.6291974
1995-01-01T00:00:00Z,Snake Fall,-0.64144254
1996-01-01T00:00:00Z,Snake Fall,-0.578249
1997-01-01T00:00:00Z,Snake Fall,-0.5437003
1998-01-01T00:00:00Z,Snake Fall,-0.65106374
1999-01-01T00:00:00Z,Snake Fall,-0.5200847
2000-01-01T00:00:00Z,Snake Fall,-0.46694958
2001-01-01T00:00:00Z,Snake Fall,0.41098183
2002-01-01T00:00:00Z,Snake Fall,-0.25528392
2003-01-01T00:00:00Z,Snake Fall,0.037505653
2004-01-01T00:00:00Z,Snake Fall,0.612589
2005-01-01T00:00:00Z,Snake Fall,0.28437603
2006-01-01T00:00:00Z,Snake Fall,0.15317832
2007-01-01T00:00:00Z,Snake Fall,-0.102219924
2008-01-01T00:00:00Z,Snake Fall,-0.06307927
2009-01-01T00:00:00Z,Snake Fall,0.21637188
2010-01-01T00:00:00Z,Snake Fall,0.8885416
2011-01-01T00:00:00Z,Snake Fall,1.0470722
2012-01-01T00:00:00Z,Snake Fall,1.7561958
2013-01-01T00:00:00Z,Snake Fall,3.7482145
2014-01-01T00:00:00Z,Snake Fall,2.1554742
2015-01-01T00:00:00Z,Snake Fall,2.6542442
2016-01-01T00:00:00Z,Snake Fall,1.1979495
2017-01-01T00:00:00Z,Snake Fall,0.6233035
2018-01-01T00:00:00Z,Snake Fall,0.34713227
1985-01-01T00:00:00Z,Snake Spr-Sum,0.39138934
1986-01-01T00:00:00Z,Snake Spr-Sum,-0.009979766
1987-01-01T00:00:00Z,Snake Spr-Sum,0.1924564
1988-01-01T00:00:00Z,Snake Spr-Sum,0.6471245
1989-01-01T00:00:00Z,Snake Spr-Sum,-0.6285486
1990-01-01T00:00:00Z,Snake Spr-Sum,-0.5930159
1991-01-01T00:00:00Z,Snake Spr-Sum,-0.81071615
1992-01-01T00:00:00Z,Snake Spr-Sum,-0.7972037
1993-01-01T00:00:00Z,Snake Spr-Sum,-0.005475624
1994-01-01T00:00:00Z,Snake Spr-Sum,-1.3179326
1995-01-01T00:00:00Z,Snake Spr-Sum,-1.428284
1996-01-01T00:00:00Z,Snake Spr-Sum,-1.0579435
1997-01-01T00:00:00Z,Snake Spr-Sum,-0.8112166
1998-01-01T00:00:00Z,Snake Spr-Sum,-0.7879452
1999-01-01T00:00:00Z,Snake Spr-Sum,-1.1167475
2000-01-01T00:00:00Z,Snake Spr-Sum,-0.5537298
2001-01-01T00:00:00Z,Snake Spr-Sum,1.8930203
2002-01-01T00:00:00Z,Snake Spr-Sum,1.6855795
2003-01-01T00:00:00Z,Snake Spr-Sum,1.8617414
2004-01-01T00:00:00Z,Snake Spr-Sum,0.14516291
2005-01-01T00:00:00Z,Snake Spr-Sum,-0.5454722
2006-01-01T00:00:00Z,Snake Spr-Sum,-0.6643315
2007-01-01T00:00:00Z,Snake Spr-Sum,-0.69135636
2008-01-01T00:00:00Z,Snake Spr-Sum,0.051827073
2009-01-01T00:00:00Z,Snake Spr-Sum,0.2522614
2010-01-01T00:00:00Z,Snake Spr-Sum,1.4528655
2011-01-01T00:00:00Z,Snake Spr-Sum,1.2917173
2012-01-01T00:00:00Z,Snake Spr-Sum,1.095787
2013-01-01T00:00:00Z,Snake Spr-Sum,-0.1215824
2014-01-01T00:00:00Z,Snake Spr-Sum,2.0824444
2015-01-01T00:00:00Z,Snake Spr-Sum,0.30505994
2016-01-01T00:00:00Z,Snake Spr-Sum,0.4609533
2017-01-01T00:00:00Z,Snake Spr-Sum,-1.0854688
2018-01-01T00:00:00Z,Snake Spr-Sum,-0.7824401
1970-01-01T00:00:00Z,UpperColumbia Spr,1.2557844
1971-01-01T00:00:00Z,UpperColumbia Spr,0.62971526
1972-01-01T00:00:00Z,UpperColumbia Spr,1.1333575
1973-01-01T00:00:00Z,UpperColumbia Spr,3.3450038
1974-01-01T00:00:00Z,UpperColumbia Spr,0.5660135
1975-01-01T00:00:00Z,UpperColumbia Spr,2.036629
1976-01-01T00:00:00Z,UpperColumbia Spr,0.44109827
1977-01-01T00:00:00Z,UpperColumbia Spr,1.7026922
1978-01-01T00:00:00Z,UpperColumbia Spr,2.6353261
1979-01-01T00:00:00Z,UpperColumbia Spr,-0.18098944
1980-01-01T00:00:00Z,UpperColumbia Spr,0.055403896
1981-01-01T00:00:00Z,UpperColumbia Spr,-0.08792512
1982-01-01T00:00:00Z,UpperColumbia Spr,0.13751948
1983-01-01T00:00:00Z,UpperColumbia Spr,0.7929511
1984-01-01T00:00:00Z,UpperColumbia Spr,0.5485951
1985-01-01T00:00:00Z,UpperColumbia Spr,1.3224722
1986-01-01T00:00:00Z,UpperColumbia Spr,0.5565578
1987-01-01T00:00:00Z,UpperColumbia Spr,0.63867337
1988-01-01T00:00:00Z,UpperColumbia Spr,0.5048001
1989-01-01T00:00:00Z,UpperColumbia Spr,0.15593328
1990-01-01T00:00:00Z,UpperColumbia Spr,0.006134547
1991-01-01T00:00:00Z,UpperColumbia Spr,-0.5383166
1992-01-01T00:00:00Z,UpperColumbia Spr,0.06983633
1993-01-01T00:00:00Z,UpperColumbia Spr,-0.19791023
1994-01-01T00:00:00Z,UpperColumbia Spr,-0.92849004
1995-01-01T00:00:00Z,UpperColumbia Spr,-1.1479626
1996-01-01T00:00:00Z,UpperColumbia Spr,-1.0907305
1997-01-01T00:00:00Z,UpperColumbia Spr,-0.925504
1998-01-01T00:00:00Z,UpperColumbia Spr,-1.0867492
1999-01-01T00:00:00Z,UpperColumbia Spr,-1.0947119
2000-01-01T00:00:00Z,UpperColumbia Spr,-0.8593139
2001-01-01T00:00:00Z,UpperColumbia Spr,0.29776928
2002-01-01T00:00:00Z,UpperColumbia Spr,-0.58111626
2003-01-01T00:00:00Z,UpperColumbia Spr,-0.89066714
2004-01-01T00:00:00Z,UpperColumbia Spr,-0.4507267
2005-01-01T00:00:00Z,UpperColumbia Spr,-0.70652914
2006-01-01T00:00:00Z,UpperColumbia Spr,-0.8294537
2007-01-01T00:00:00Z,UpperColumbia Spr,-0.86030924
2008-01-01T00:00:00Z,UpperColumbia Spr,-0.82447696
2009-01-01T00:00:00Z,UpperColumbia Spr,-0.6124695
2010-01-01T00:00:00Z,UpperColumbia Spr,-0.4671498
2011-01-01T00:00:00Z,UpperColumbia Spr,-0.107334256
2012-01-01T00:00:00Z,UpperColumbia Spr,-0.47361952
2013-01-01T00:00:00Z,UpperColumbia Spr,-0.67965496
2014-01-01T00:00:00Z,UpperColumbia Spr,-0.41588977
2015-01-01T00:00:00Z,UpperColumbia Spr,-0.4218618
2016-01-01T00:00:00Z,UpperColumbia Spr,-0.55673045
2017-01-01T00:00:00Z,UpperColumbia Spr,-0.91007626
2018-01-01T00:00:00Z,UpperColumbia Spr,-0.9055972
